order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
33,ORD-20231118-00033,6,2023-11-18,entregado,1198.1,7,310,251.6,1675.83,debit_card,pickup,,
34,ORD-20250829-00034,146,2025-08-29,cancelado,1219.27,14,400,256.05,1704.62,cash_on_delivery,express,,
35,ORD-20250428-00035,88,2025-04-28,enviado,2946.49,7,130,618.76,3489,bank_transfer,pickup,,
36,ORD-20240107-00036,182,2024-01-07,cancelado,329.96,10,110,69.29,476.25,paypal,same_day,7,
37,ORD-20240423-00037,127,2024-04-23,entregado,1629.72,15,300,342.24,2027.5,credit_card,pickup,3,
38,ORD-20241031-00038,252,2024-10-31,pendiente,3073.81,1,440,645.5,4128.57,bank_transfer,express,,
39,ORD-20251112-00039,274,2025-11-12,enviado,2102.13,20,260,441.45,2383.15,debit_card,same_day,6,
40,ORD-20260118-00040,238,2026-01-18,cancelado,1370.61,19,220,287.83,1618.02,paypal,express,,
41,ORD-20250911-00041,127,2025-09-11,entregado,3725.81,19,320,782.42,4120.33,paypal,same_day,,Nota del cliente: Envolver para regalo
42,ORD-20250408-00042,275,2025-04-08,pendiente,2037.83,12,450,427.94,2671.23,debit_card,standard,,Nota del cliente: Dejar en portería
43,ORD-20250829-00043,50,2025-08-29,procesando,732.76,17,110,153.88,872.07,bank_transfer,standard,9,Nota del cliente: Envolver para regalo
44,ORD-20251014-00044,316,2025-10-14,procesando,2007.27,13,0,421.53,2167.85,bank_transfer,express,,Nota del cliente: Llamar antes
45,ORD-20240312-00045,119,2024-03-12,pendiente,2050.1,13,130,430.52,2344.11,debit_card,same_day,9,Nota del cliente: Dejar en portería
46,ORD-20231231-00046,253,2023-12-31,entregado,800.13,20,20,168.03,828.13,bank_transfer,express,,
47,ORD-20240704-00047,263,2024-07-04,entregado,6023.71,6,150,1264.98,7077.27,debit_card,pickup,,
48,ORD-20251002-00048,49,2025-10-02,entregado,6350.68,4,290,1333.64,7720.29,debit_card,standard,,
49,ORD-20240326-00049,219,2024-03-26,enviado,1762.24,6,90,370.07,2116.58,cash_on_delivery,pickup,3,
50,ORD-20240112-00050,178,2024-01-12,procesando,3920.11,18,120,823.22,4157.71,cash_on_delivery,pickup,,
51,ORD-20240629-00051,84,2024-06-29,pendiente,3090.9,16,390,649.09,3635.45,credit_card,express,,
52,ORD-20250801-00052,48,2025-08-01,entregado,3182.65,15,470,668.36,3843.61,debit_card,express,,
53,ORD-20250914-00053,36,2025-09-14,entregado,1054.56,11,30,221.46,1190.02,cash_on_delivery,pickup,,
54,ORD-20250525-00054,38,2025-05-25,enviado,565.99,9,460,118.86,1093.91,credit_card,pickup,,
55,ORD-20251015-00055,195,2025-10-15,pendiente,1799.12,18,440,377.82,2293.1,debit_card,express,,Nota del cliente: Dejar en portería
56,ORD-20231009-00056,85,2023-10-09,enviado,2841.9,1,190,596.8,3600.28,cash_on_delivery,pickup,,
57,ORD-20230105-00057,277,2023-01-05,pendiente,911.52,1,80,191.42,1173.82,debit_card,pickup,2,
58,ORD-20251105-00058,61,2025-11-05,pendiente,2560.08,14,420,537.62,3159.29,paypal,same_day,,Nota del cliente: Envolver para regalo
59,ORD-20240318-00059,28,2024-03-18,procesando,3401.62,2,120,714.34,4167.93,cash_on_delivery,pickup,,
60,ORD-20260302-00060,326,2026-03-02,cancelado,919.56,5,50,193.11,1116.69,paypal,pickup,,
61,ORD-20251126-00061,265,2025-11-26,entregado,3321.99,18,170,697.62,3591.65,credit_card,same_day,,
62,ORD-20230208-00062,316,2023-02-08,pendiente,133.08,9,110,27.95,259.05,bank_transfer,pickup,,
63,ORD-20240110-00063,70,2024-01-10,procesando,4233.56,6,10,889.05,4878.6,cash_on_delivery,pickup,6,Nota del cliente: Llamar antes
64,ORD-20231018-00064,6,2023-10-18,procesando,1563.33,18,40,328.3,1650.23,bank_transfer,pickup,3,
65,ORD-20231007-00065,329,2023-10-07,enviado,2406.93,4,410,505.46,3226.11,paypal,standard,1,
66,ORD-20240227-00066,277,2024-02-27,enviado,4309.84,13,40,905.07,4694.63,paypal,same_day,,
67,ORD-20260103-00067,99,2026-01-03,enviado,2242.09,2,70,470.84,2738.09,debit_card,pickup,6,Nota del cliente: Llamar antes
68,ORD-20250917-00068,221,2025-09-17,enviado,1530.78,15,60,321.46,1682.62,bank_transfer,pickup,,
69,ORD-20230306-00069,176,2023-03-06,cancelado,2608.26,8,0,547.73,2947.33,paypal,same_day,5,
70,ORD-20231103-00070,247,2023-11-03,pendiente,212.2,20,90,44.56,304.32,cash_on_delivery,express,,
71,ORD-20240626-00071,241,2024-06-26,enviado,953.39,13,350,200.21,1379.66,credit_card,express,,
72,ORD-20241022-00072,87,2024-10-22,enviado,2045.49,5,470,429.55,2842.77,paypal,pickup,,
73,ORD-20240713-00073,330,2024-07-13,entregado,4186.46,15,0,879.16,4437.65,debit_card,standard,,
74,ORD-20240717-00074,279,2024-07-17,enviado,3854.84,18,290,809.52,4260.49,debit_card,express,8,
75,ORD-20260108-00075,259,2026-01-08,cancelado,3052.14,2,400,640.95,4032.05,cash_on_delivery,express,,
76,ORD-20240617-00076,68,2024-06-17,pendiente,3042.08,3,250,638.84,3839.66,credit_card,pickup,,
77,ORD-20260220-00077,56,2026-02-20,pendiente,1297.02,14,180,272.37,1567.81,paypal,standard,,
78,ORD-20260215-00078,316,2026-02-15,entregado,2372.09,8,190,498.14,2870.46,debit_card,same_day,,
79,ORD-20250908-00079,140,2025-09-08,enviado,602.62,9,190,126.55,864.93,debit_card,express,,
80,ORD-20231016-00080,34,2023-10-16,procesando,1914.72,17,20,402.09,2011.31,paypal,pickup,,Nota del cliente: Dejar en portería
81,ORD-20230906-00081,287,2023-09-06,enviado,3544.27,14,0,744.3,3792.37,cash_on_delivery,same_day,,
82,ORD-20230519-00082,125,2023-05-19,cancelado,2771.66,18,160,582.05,3014.81,paypal,standard,4,
83,ORD-20250521-00083,43,2025-05-21,pendiente,2679,16,240,562.59,3052.95,paypal,express,,Nota del cliente: Llamar antes
84,ORD-20230313-00084,149,2023-03-13,procesando,1814.76,1,380,381.1,2557.71,paypal,express,4,Nota del cliente: Envolver para regalo
85,ORD-20250113-00085,72,2025-01-13,procesando,1263.62,6,420,265.36,1873.16,paypal,same_day,,
86,ORD-20231016-00086,222,2023-10-16,pendiente,1372.65,17,220,288.26,1647.56,credit_card,express,,
87,ORD-20251121-00087,240,2025-11-21,enviado,438.57,12,160,92.1,638.04,credit_card,express,10,
88,ORD-20260201-00088,178,2026-02-01,pendiente,104.69,2,100,21.98,224.58,debit_card,standard,,
89,ORD-20241214-00089,57,2024-12-14,entregado,2534.17,10,490,532.18,3302.93,paypal,standard,,
90,ORD-20240421-00090,234,2024-04-21,enviado,1982.37,9,0,416.3,2220.26,bank_transfer,pickup,,
91,ORD-20240612-00091,39,2024-06-12,entregado,366.36,10,190,76.94,596.66,credit_card,same_day,,
92,ORD-20230321-00092,277,2023-03-21,procesando,2816.31,17,360,591.43,3288.97,bank_transfer,same_day,,
93,ORD-20250710-00093,209,2025-07-10,pendiente,3700.56,9,180,777.12,4324.63,paypal,standard,,
94,ORD-20250710-00094,130,2025-07-10,procesando,3184.93,7,250,668.84,3880.82,credit_card,standard,,
95,ORD-20230421-00095,102,2023-04-21,pendiente,520.4,7,500,109.28,1093.25,debit_card,standard,,
96,ORD-20231118-00096,223,2023-11-18,enviado,989.12,3,370,207.72,1537.17,cash_on_delivery,same_day,,
97,ORD-20240715-00097,244,2024-07-15,pendiente,5226.96,13,110,1097.66,5755.12,cash_on_delivery,standard,,
98,ORD-20230812-00098,54,2023-08-12,entregado,2346.46,0,420,492.76,3259.22,bank_transfer,standard,6,
99,ORD-20231221-00099,218,2023-12-21,enviado,407.91,20,280,85.66,691.99,credit_card,standard,,Nota del cliente: Envolver para regalo
100,ORD-20240820-00100,281,2024-08-20,cancelado,4252.25,8,50,892.97,4855.04,credit_card,standard,,
101,ORD-20250214-00101,141,2025-02-14,cancelado,3148.55,19,290,661.2,3501.53,paypal,pickup,1,
102,ORD-20230417-00102,281,2023-04-17,procesando,1718.72,1,360,360.93,2422.46,credit_card,express,,
103,ORD-20240223-00103,143,2024-02-23,cancelado,3279.36,19,480,688.67,3824.95,bank_transfer,pickup,,
104,ORD-20240107-00104,22,2024-01-07,entregado,3048.69,19,0,640.22,3109.66,paypal,same_day,3,
105,ORD-20250214-00105,125,2025-02-14,enviado,6054.46,3,300,1271.44,7444.27,credit_card,same_day,,
106,ORD-20250206-00106,328,2025-02-06,entregado,5136.08,10,400,1078.58,6101.05,debit_card,express,,
107,ORD-20241124-00107,45,2024-11-24,procesando,2548.52,2,200,535.19,3232.74,bank_transfer,standard,6,Nota del cliente: Envolver para regalo
108,ORD-20240208-00108,87,2024-02-08,procesando,194.94,10,430,40.94,646.39,credit_card,standard,,
109,ORD-20240119-00109,218,2024-01-19,enviado,2512.67,19,30,527.66,2592.92,credit_card,express,10,
110,ORD-20230922-00110,145,2023-09-22,entregado,1160.94,7,120,243.8,1443.47,paypal,standard,,Nota del cliente: Entregar por la tarde
111,ORD-20250805-00111,15,2025-08-05,enviado,1334.79,18,270,280.31,1644.84,cash_on_delivery,express,1,
112,ORD-20241015-00112,266,2024-10-15,enviado,896.21,18,470,188.2,1393.09,cash_on_delivery,express,,Nota del cliente: Entregar por la tarde
113,ORD-20240103-00113,278,2024-01-03,procesando,3248.57,19,20,682.2,3333.54,bank_transfer,pickup,,
114,ORD-20230705-00114,210,2023-07-05,enviado,1833.01,10,60,384.93,2094.64,cash_on_delivery,express,,Nota del cliente: Entregar por la tarde
115,ORD-20240728-00115,239,2024-07-28,entregado,2208.83,14,290,463.85,2653.44,credit_card,standard,,
116,ORD-20260122-00116,246,2026-01-22,entregado,2139.56,9,410,449.31,2806.31,debit_card,pickup,,
117,ORD-20230713-00117,186,2023-07-13,entregado,1329.84,9,30,279.27,1519.42,credit_card,same_day,,
118,ORD-20250625-00118,113,2025-06-25,pendiente,1158.02,12,170,243.18,1432.24,debit_card,pickup,,
119,ORD-20241227-00119,110,2024-12-27,pendiente,637.59,8,80,133.89,800.47,credit_card,express,4,
120,ORD-20250502-00120,217,2025-05-02,pendiente,710.94,5,70,149.3,894.69,paypal,standard,,
121,ORD-20230530-00121,325,2023-05-30,procesando,2907.2,8,420,610.51,3705.13,bank_transfer,same_day,,Nota del cliente: Entregar por la tarde
122,ORD-20240116-00122,123,2024-01-16,entregado,1713.69,12,20,359.87,1887.92,bank_transfer,pickup,,
123,ORD-20230817-00123,94,2023-08-17,procesando,600.35,7,110,126.07,794.4,cash_on_delivery,standard,8,Nota del cliente: Dejar en portería
124,ORD-20250117-00124,97,2025-01-17,entregado,387.66,7,500,81.41,941.93,debit_card,standard,,
125,ORD-20250811-00125,286,2025-08-11,cancelado,897,13,380,188.37,1348.76,cash_on_delivery,standard,,
126,ORD-20231112-00126,159,2023-11-12,enviado,733.71,10,150,154.08,964.42,debit_card,express,5,
127,ORD-20240816-00127,302,2024-08-16,entregado,4790.42,7,150,1005.99,5611.08,cash_on_delivery,standard,,
128,ORD-20231202-00128,162,2023-12-02,enviado,3791.39,3,280,796.19,4753.84,credit_card,pickup,,
129,ORD-20241128-00129,190,2024-11-28,enviado,1599.08,18,230,335.81,1877.06,cash_on_delivery,express,,
130,ORD-20250830-00130,96,2025-08-30,pendiente,2909.11,10,40,610.91,3269.11,cash_on_delivery,same_day,9,
131,ORD-20241026-00131,208,2024-10-26,pendiente,1011.36,13,360,212.39,1452.27,debit_card,same_day,,
132,ORD-20231213-00132,147,2023-12-13,enviado,2963.45,7,120,622.32,3498.33,debit_card,standard,6,
133,ORD-20230512-00133,145,2023-05-12,cancelado,324.44,18,470,68.13,804.17,bank_transfer,pickup,,Nota del cliente: Llamar antes
134,ORD-20240512-00134,233,2024-05-12,pendiente,2161.96,15,240,454.01,2531.68,bank_transfer,express,6,
135,ORD-20230504-00135,265,2023-05-04,enviado,918.85,0,240,192.96,1351.81,credit_card,standard,,Nota del cliente: Llamar antes
136,ORD-20260129-00136,246,2026-01-29,procesando,2176.51,1,280,457.07,2891.81,cash_on_delivery,express,,Nota del cliente: Envolver para regalo
137,ORD-20231029-00137,102,2023-10-29,entregado,1277.96,1,150,268.37,1683.55,credit_card,same_day,9,
138,ORD-20230805-00138,252,2023-08-05,cancelado,969.15,19,470,203.52,1458.53,debit_card,pickup,,
139,ORD-20250615-00139,117,2025-06-15,pendiente,334.02,15,270,70.14,624.06,paypal,express,8,
140,ORD-20230904-00140,276,2023-09-04,enviado,1489.09,18,340,312.71,1873.76,cash_on_delivery,pickup,,
141,ORD-20231028-00141,234,2023-10-28,procesando,2410.74,17,420,506.26,2927.17,cash_on_delivery,standard,,
142,ORD-20231117-00142,238,2023-11-17,cancelado,779.45,7,420,163.68,1308.57,cash_on_delivery,same_day,,
143,ORD-20230926-00143,323,2023-09-26,cancelado,114.93,8,120,24.14,249.88,debit_card,pickup,4,
144,ORD-20230503-00144,334,2023-05-03,cancelado,975.88,2,450,204.93,1611.29,bank_transfer,express,,
145,ORD-20240605-00145,261,2024-06-05,entregado,4317.38,4,30,906.65,5081.33,bank_transfer,express,,
146,ORD-20240905-00146,135,2024-09-05,cancelado,492.18,4,270,103.36,845.85,credit_card,pickup,8,
147,ORD-20260308-00147,37,2026-03-08,pendiente,2493.43,18,150,523.62,2718.23,cash_on_delivery,same_day,,
148,ORD-20250126-00148,140,2025-01-26,entregado,2437.1,3,450,511.79,3325.78,paypal,pickup,,
149,ORD-20250130-00149,264,2025-01-30,enviado,2465.95,16,450,517.85,3039.25,credit_card,express,,
150,ORD-20250412-00150,10,2025-04-12,procesando,277.3,13,480,58.23,779.48,bank_transfer,pickup,2,Nota del cliente: Entregar por la tarde
151,ORD-20250730-00151,91,2025-07-30,procesando,388.04,2,460,81.49,921.77,credit_card,standard,,
152,ORD-20251018-00152,59,2025-10-18,pendiente,4283.2,18,340,899.47,4751.69,bank_transfer,pickup,,Nota del cliente: Llamar antes
153,ORD-20250517-00153,312,2025-05-17,enviado,2218.06,4,300,465.79,2895.13,credit_card,standard,,
154,ORD-20241201-00154,169,2024-12-01,pendiente,4401.5,17,80,924.32,4657.57,credit_card,same_day,,Nota del cliente: Dejar en portería
155,ORD-20250416-00155,2,2025-04-16,enviado,385.02,6,120,80.85,562.77,debit_card,standard,,Nota del cliente: Llamar antes
156,ORD-20230328-00156,267,2023-03-28,entregado,916.15,11,10,192.39,1017.76,paypal,pickup,,Nota del cliente: Entregar por la tarde
157,ORD-20230708-00157,139,2023-07-08,cancelado,1384.63,11,460,290.77,1983.09,credit_card,same_day,,Nota del cliente: Envolver para regalo
158,ORD-20240314-00158,233,2024-03-14,cancelado,4190.37,1,230,879.98,5258.45,bank_transfer,pickup,,
159,ORD-20250517-00159,174,2025-05-17,cancelado,775.32,20,370,162.82,1153.08,bank_transfer,standard,,
160,ORD-20230316-00160,314,2023-03-16,pendiente,326.56,12,320,68.58,675.95,bank_transfer,same_day,,
161,ORD-20241201-00161,95,2024-12-01,enviado,1335.86,10,390,280.53,1872.8,paypal,same_day,4,
162,ORD-20250224-00162,31,2025-02-24,cancelado,3675.77,16,150,771.91,4009.56,debit_card,pickup,,
163,ORD-20230527-00163,248,2023-05-27,pendiente,4135.69,1,400,868.49,5362.82,cash_on_delivery,standard,,
164,ORD-20251229-00164,167,2025-12-29,cancelado,4168.38,8,440,875.36,5150.27,credit_card,same_day,,
165,ORD-20250306-00165,33,2025-03-06,entregado,2890.49,10,60,607,3268.44,paypal,same_day,,
166,ORD-20230424-00166,233,2023-04-24,pendiente,4629.74,18,270,972.25,5038.64,paypal,standard,,
167,ORD-20230921-00167,279,2023-09-21,pendiente,3179.33,19,350,667.66,3592.92,credit_card,same_day,,
168,ORD-20240304-00168,325,2024-03-04,entregado,1239.06,3,50,260.2,1512.09,bank_transfer,standard,,
169,ORD-20241107-00169,283,2024-11-07,cancelado,3395.87,1,420,713.13,4495.04,paypal,same_day,1,
170,ORD-20251128-00170,319,2025-11-28,enviado,1277.96,19,150,268.37,1453.52,cash_on_delivery,pickup,8,
171,ORD-20260221-00171,163,2026-02-21,procesando,268,12,140,56.28,432.12,credit_card,pickup,,
172,ORD-20250812-00172,36,2025-08-12,enviado,4544.89,13,180,954.43,5088.48,bank_transfer,same_day,,
173,ORD-20240914-00173,241,2024-09-14,pendiente,1767.16,20,110,371.1,1894.83,debit_card,express,,
174,ORD-20260204-00174,218,2026-02-04,pendiente,2688.87,15,130,564.66,2980.2,paypal,standard,3,
175,ORD-20240127-00175,11,2024-01-27,cancelado,1206.8,19,200,253.43,1430.94,paypal,standard,5,
176,ORD-20251117-00176,194,2025-11-17,cancelado,2919.91,2,490,613.18,3964.69,paypal,express,,
177,ORD-20240717-00177,52,2024-07-17,pendiente,1380.91,0,350,289.99,2020.9,debit_card,express,3,
178,ORD-20241226-00178,168,2024-12-26,entregado,5770.64,0,470,1211.83,7452.47,credit_card,express,,
179,ORD-20250330-00179,73,2025-03-30,enviado,2812.3,9,190,590.58,3339.77,credit_card,pickup,,
180,ORD-20240915-00180,65,2024-09-15,pendiente,4048.94,20,180,850.28,4269.43,bank_transfer,standard,,
181,ORD-20230502-00181,24,2023-05-02,entregado,1635.48,19,310,343.45,1978.19,credit_card,pickup,,
182,ORD-20231028-00182,228,2023-10-28,pendiente,764.35,5,260,160.51,1146.64,debit_card,standard,8,
183,ORD-20230220-00183,215,2023-02-20,procesando,940.28,18,480,197.46,1448.49,debit_card,express,,
184,ORD-20250904-00184,231,2025-09-04,procesando,4043.06,8,500,849.04,5068.66,credit_card,same_day,,
185,ORD-20230321-00185,206,2023-03-21,pendiente,3647.36,5,0,765.95,4230.94,cash_on_delivery,pickup,,Nota del cliente: Dejar en portería
186,ORD-20230703-00186,126,2023-07-03,entregado,2957.14,5,330,621,3760.28,cash_on_delivery,same_day,,
187,ORD-20240202-00187,33,2024-02-02,cancelado,1830.22,15,410,384.35,2350.04,bank_transfer,express,2,
188,ORD-20240529-00188,155,2024-05-29,enviado,3529.58,12,140,741.21,3987.24,bank_transfer,same_day,,
189,ORD-20241202-00189,186,2024-12-02,entregado,1508.9,19,490,316.87,2029.08,paypal,pickup,,
190,ORD-20250927-00190,327,2025-09-27,entregado,274.9,7,70,57.73,383.39,cash_on_delivery,same_day,,Nota del cliente: Entregar por la tarde
191,ORD-20240126-00191,220,2024-01-26,entregado,384.62,4,40,80.77,490.01,bank_transfer,pickup,,
192,ORD-20240206-00192,20,2024-02-06,cancelado,1955.12,12,270,410.58,2401.09,paypal,standard,,
193,ORD-20231230-00193,223,2023-12-30,cancelado,4623.6,20,50,970.96,4719.84,paypal,pickup,,
194,ORD-20250425-00194,70,2025-04-25,procesando,3750.34,2,260,787.57,4722.9,paypal,standard,,
195,ORD-20240817-00195,328,2024-08-17,entregado,1905.43,6,350,400.14,2541.24,bank_transfer,standard,,
196,ORD-20260214-00196,156,2026-02-14,entregado,3170.55,5,350,665.82,4027.84,cash_on_delivery,express,,
197,ORD-20231103-00197,89,2023-11-03,entregado,2013.62,19,320,422.86,2373.89,cash_on_delivery,standard,,
198,ORD-20230525-00198,56,2023-05-25,cancelado,2348.54,14,90,493.19,2602.93,bank_transfer,same_day,6,
199,ORD-20240702-00199,30,2024-07-02,enviado,4213.88,3,450,884.91,5422.37,debit_card,express,7,Nota del cliente: Entregar por la tarde
200,ORD-20230224-00200,108,2023-02-24,pendiente,2669.72,3,470,560.64,3620.27,cash_on_delivery,standard,,
201,ORD-20240627-00201,312,2024-06-27,procesando,3270.03,9,330,686.71,3992.44,debit_card,express,,
202,ORD-20250415-00202,76,2025-04-15,procesando,2399.86,16,10,503.97,2529.85,cash_on_delivery,pickup,,
203,ORD-20240726-00203,324,2024-07-26,cancelado,232.99,10,110,48.93,368.62,debit_card,standard,,
204,ORD-20230920-00204,322,2023-09-20,cancelado,3989.65,16,350,837.83,4539.14,credit_card,express,,
205,ORD-20240823-00205,115,2024-08-23,entregado,4978.78,7,470,1045.54,6145.81,bank_transfer,same_day,,
206,ORD-20231220-00206,256,2023-12-20,pendiente,2961.41,1,200,621.9,3753.7,bank_transfer,pickup,7,
207,ORD-20250612-00207,270,2025-06-12,procesando,566.96,16,270,119.06,865.31,paypal,pickup,8,Nota del cliente: Entregar por la tarde
208,ORD-20240808-00208,188,2024-08-08,pendiente,4032.97,13,220,846.92,4575.6,bank_transfer,pickup,,
209,ORD-20230420-00209,13,2023-04-20,entregado,3862.43,16,300,811.11,4355.55,cash_on_delivery,express,,
210,ORD-20230612-00210,57,2023-06-12,cancelado,4317.86,14,310,906.75,4930.11,paypal,express,,
211,ORD-20240308-00211,287,2024-03-08,enviado,3598.17,18,50,755.62,3756.12,bank_transfer,standard,3,
212,ORD-20250818-00212,231,2025-08-18,cancelado,3629.53,9,440,762.2,4505.07,cash_on_delivery,pickup,,
213,ORD-20250109-00213,292,2025-01-09,pendiente,1008.36,16,190,211.76,1248.78,bank_transfer,same_day,,
214,ORD-20231209-00214,123,2023-12-09,procesando,3634.32,20,330,763.21,4000.67,cash_on_delivery,express,,
215,ORD-20230516-00215,196,2023-05-16,entregado,2979.57,7,380,625.71,3776.71,debit_card,express,,Nota del cliente: Dejar en portería
216,ORD-20230522-00216,188,2023-05-22,cancelado,2579.65,13,130,541.73,2916.03,cash_on_delivery,standard,9,
217,ORD-20251026-00217,35,2025-10-26,entregado,4665.3,14,500,979.71,5491.87,bank_transfer,same_day,,Nota del cliente: Envolver para regalo
218,ORD-20250704-00218,20,2025-07-04,procesando,3767.23,13,490,791.12,4558.61,debit_card,same_day,,
219,ORD-20251029-00219,195,2025-10-29,procesando,3483.65,4,440,731.57,4515.87,debit_card,standard,,Nota del cliente: Envolver para regalo
220,ORD-20230212-00220,226,2023-02-12,procesando,5255.66,12,470,1103.69,6198.67,debit_card,standard,,
221,ORD-20230514-00221,143,2023-05-14,entregado,3590.59,19,0,754.02,3662.4,debit_card,standard,,
222,ORD-20250320-00222,313,2025-03-20,procesando,2241.85,0,160,470.79,2872.64,bank_transfer,express,,
223,ORD-20240624-00223,220,2024-06-24,procesando,581.85,12,500,122.19,1134.22,cash_on_delivery,same_day,6,
224,ORD-20231121-00224,87,2023-11-21,enviado,2143.22,11,360,450.08,2717.55,debit_card,express,,Nota del cliente: Dejar en portería
225,ORD-20230821-00225,7,2023-08-21,pendiente,1410.26,1,460,296.15,2152.31,credit_card,standard,,
226,ORD-20250703-00226,291,2025-07-03,procesando,1953.43,11,440,410.22,2588.77,paypal,express,,
227,ORD-20240103-00227,23,2024-01-03,entregado,701.13,10,150,147.24,928.26,credit_card,pickup,,
228,ORD-20250802-00228,298,2025-08-02,enviado,4625.26,15,20,971.3,4922.77,debit_card,express,,Nota del cliente: Entregar por la tarde
229,ORD-20230422-00229,3,2023-04-22,pendiente,475.4,17,20,99.83,514.41,paypal,pickup,,
230,ORD-20230909-00230,55,2023-09-09,procesando,1336.8,10,320,280.73,1803.85,cash_on_delivery,standard,,
231,ORD-20240828-00231,216,2024-08-28,entregado,2001.5,1,390,420.32,2791.81,cash_on_delivery,express,,Nota del cliente: Dejar en portería
232,ORD-20251123-00232,134,2025-11-23,enviado,1202.2,15,290,252.46,1564.33,debit_card,same_day,,
233,ORD-20251203-00233,76,2025-12-03,procesando,3148.42,17,460,661.17,3734.36,bank_transfer,pickup,,
234,ORD-20251207-00234,101,2025-12-07,cancelado,648.45,14,200,136.17,893.84,credit_card,express,,
235,ORD-20230825-00235,111,2023-08-25,enviado,3308.71,12,50,694.83,3656.49,credit_card,same_day,,
236,ORD-20251013-00236,194,2025-10-13,procesando,1292.53,14,480,271.43,1863.01,debit_card,same_day,,Nota del cliente: Envolver para regalo
237,ORD-20240603-00237,117,2024-06-03,procesando,473.94,10,480,99.53,1006.08,cash_on_delivery,standard,2,
