inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
100,53,5,410,43,216,2025-01-25
101,54,4,272,41,732,2024-09-24
102,55,2,112,36,504,2024-06-20
103,56,3,326,29,857,2026-02-16
104,57,2,37,18,583,2025-04-25
105,57,3,201,40,679,2025-06-16
106,57,5,404,45,701,2024-11-08
107,58,4,458,35,693,2024-02-28
108,59,1,412,36,889,2024-08-06
109,59,5,242,25,965,2024-03-29
110,59,4,426,16,250,2024-04-06
111,60,5,125,25,455,2025-06-05
112,60,3,449,49,624,2025-03-31
113,61,4,289,30,884,2025-07-18
114,62,5,142,33,926,2024-10-15
115,62,4,490,22,432,2025-10-11
116,62,2,198,32,648,2024-05-25
117,63,3,493,48,267,2025-06-02
118,63,5,160,26,883,2025-06-04
119,64,3,174,24,779,2025-11-29
120,64,2,210,28,228,2025-11-29
121,64,3,63,19,495,2025-11-18
122,65,5,405,46,256,2024-02-23
123,65,3,307,36,551,2025-10-10
124,66,5,9,21,944,2024-05-14
125,66,1,480,13,404,2025-01-25
126,67,3,443,31,529,2025-05-20
127,68,3,460,48,384,2024-08-29
128,68,4,332,23,427,2025-10-08
129,69,3,248,22,888,2025-09-17
130,69,3,469,47,383,2025-04-21
131,69,3,286,12,766,2025-02-25
132,70,4,270,44,794,2024-04-06
133,71,3,290,23,971,2024-12-25
134,71,3,64,39,403,2025-12-12
135,72,3,476,25,467,2025-03-18
136,73,5,17,24,348,2025-04-28
137,73,1,442,32,635,2026-01-22
138,73,3,481,44,713,2025-02-25
139,74,2,458,36,985,2025-06-17
140,75,4,2,24,968,2025-03-13
141,75,3,259,50,762,2025-01-18
142,76,1,240,37,719,2024-01-14
143,76,5,122,38,975,2024-11-20
144,77,5,363,42,924,2025-01-19
145,77,3,275,38,554,2025-02-01
146,78,3,98,17,704,2025-07-17
147,78,4,498,36,212,2025-01-09
148,78,4,450,25,991,2024-10-23
149,79,1,422,15,893,2024-10-05
150,79,1,323,43,854,2025-12-03
151,80,5,51,20,525,2025-07-07
152,80,4,73,39,744,2025-05-22
153,80,5,2,29,546,2024-12-04
154,81,1,265,35,805,2024-12-09
155,81,3,299,32,943,2024-05-18
156,82,2,136,41,473,2025-04-20
157,83,5,351,31,821,2024-09-09
158,83,2,449,12,969,2024-01-24
159,84,1,126,13,400,2025-04-28
160,84,4,490,42,245,2025-06-20
161,85,5,411,38,668,2026-01-03
162,85,3,196,13,710,2025-12-12
163,86,1,23,25,752,2024-12-07
164,86,4,199,29,277,2025-10-12
165,87,2,359,29,530,2024-10-27
166,88,5,382,35,788,2024-09-30
167,88,1,433,37,912,2025-04-25
168,89,5,117,30,524,2024-12-15
169,89,1,270,40,467,2025-09-06
170,90,3,489,22,338,2026-03-09
171,90,3,115,35,631,2024-11-12
172,90,1,437,33,798,2025-12-12
173,91,1,241,13,376,2025-12-21
174,92,2,27,31,209,2024-04-19
175,93,3,341,17,451,2025-03-30
176,94,3,83,47,914,2024-09-27
177,94,3,443,12,244,2024-06-15
178,94,5,204,39,927,2024-01-14
179,95,1,82,50,958,2024-05-28
180,95,2,0,17,713,2026-01-08
181,96,3,434,23,377,2026-02-25
182,97,2,441,26,343,2025-06-15
183,98,4,74,44,989,2025-03-11
184,99,2,480,36,877,2025-06-25
185,99,1,15,21,421,2025-05-02
186,99,5,283,23,202,2024-06-02
187,100,5,103,47,208,2024-12-23
